date;nbre
21/02/2020;12
22/02/2020;12
23/02/2020;12
24/02/2020;12
25/02/2020;14
26/02/2020;18
27/02/2020;38
28/02/2020;73
29/02/2020;100
01/03/2020;130
02/03/2020;191
03/03/2020;212
04/03/2020;285
05/03/2020;423
06/03/2020;613
07/03/2020;949
08/03/2020;1126
09/03/2020;1412
10/03/2020;1784
11/03/2020;2281
12/03/2020;2876
13/03/2020;3661
14/03/2020;4499
15/03/2020;5423
16/03/2020;6633
17/03/2020;7730
18/03/2020;9134
19/03/2020;10995
20/03/2020;12612
21/03/2020;14459
22/03/2020;16018
23/03/2020;19856
24/03/2020;22302
25/03/2020;25230
26/03/2020;29155
27/03/2020;32964
28/03/2020;37575
29/03/2020;40174
30/03/2020;44550
31/03/2020;52128
01/04/2020;56989
02/04/2020;59105
03/04/2020;64338
04/04/2020;68605
05/04/2020;70478
06/04/2020;74389
07/04/2020;78167
08/04/2020;82048
09/04/2020;86334
10/04/2020;90676
11/04/2020;93790
12/04/2020;95403
13/04/2020;98076
14/04/2020;103573
15/04/2020;106206
16/04/2020;108847
17/04/2020;109252
18/04/2020;111821
19/04/2020;112606
20/04/2020;114657
21/04/2020;117324
22/04/2020;119151
23/04/2020;120804
24/04/2020;122577
25/04/2020;124114
26/04/2020;124575
27/04/2020;125770
28/04/2020;126835
29/04/2020;128442
30/04/2020;129581
01/05/2020;130185
02/05/2020;130979
03/05/2020;131287
04/05/2020;131863
05/05/2020;132967
06/05/2020;137150
07/05/2020;137779
08/05/2020;138421
09/05/2020;138854
10/05/2020;139063
11/05/2020;139519
12/05/2020;140227
13/05/2020;140734
14/05/2020;141356
15/05/2020;141919
16/05/2020;142291
17/05/2020;142411
18/05/2020;142903
19/05/2020;143427
20/05/2020;143845
21/05/2020;144163
22/05/2020;144566
23/05/2020;144806
24/05/2020;144921
25/05/2020;145279
26/05/2020;145555
27/05/2020;145746
28/05/2020;149071
29/05/2020;149668
30/05/2020;151496
31/05/2020;151753
01/06/2020;152091
02/06/2020;151325
03/06/2020;151677
04/06/2020;152444
05/06/2020;153055
06/06/2020;153634
07/06/2020;153977
08/06/2020;154188
09/06/2020;154591
10/06/2020;155136
11/06/2020;155561
12/06/2020;156287
13/06/2020;156813
14/06/2020;157220
15/06/2020;157372
16/06/2020;157716
17/06/2020;158174
18/06/2020;158641
19/06/2020;159452
20/06/2020;160093
21/06/2020;160377
22/06/2020;160750
23/06/2020;161267
24/06/2020;161348
25/06/2020;161348
26/06/2020;162936
27/06/2020;163454
28/06/2020;163980
29/06/2020;164260
30/06/2020;164801
01/07/2020;165719
02/07/2020;166378
03/07/2020;166960
06/07/2020;168335
07/07/2020;168810
08/07/2020;169473
09/07/2020;170094
10/07/2020;170752
13/07/2020;172377
15/07/2020;173304
16/07/2020;173838
17/07/2020;174674
20/07/2020;176754
21/07/2020;177338
22/07/2020;178336
23/07/2020;179398
24/07/2020;180528
27/07/2020;183079
28/07/2020;183804
29/07/2020;185196
30/07/2020;186573
31/07/2020;187919
03/08/2020;191295
04/08/2020;192334
05/08/2020;194029
06/08/2020;195633
07/08/2020;197921
10/08/2020;202775
11/08/2020;204172
12/08/2020;206696
13/08/2020;209365
14/08/2020;212211
15/08/2020;215521
16/08/2020;218536
17/08/2020;219029
18/08/2020;221267
19/08/2020;225043
20/08/2020;229814
21/08/2020;234400
22/08/2020;238002
23/08/2020;242899
24/08/2020;244854
25/08/2020;248158
26/08/2020;253587
27/08/2020;259698
28/08/2020;267077
29/08/2020;272530
30/08/2020;277943
31/08/2020;281025
01/09/2020;286007
02/09/2020;293024
03/09/2020;300181
04/09/2020;309156
05/09/2020;317706
06/09/2020;324777
07/09/2020;328980
08/09/2020;335524
09/09/2020;344101
10/09/2020;353944
11/09/2020;363350
12/09/2020;373911
13/09/2020;381094
14/09/2020;387252
15/09/2020;395104
16/09/2020;404888
17/09/2020;415481
18/09/2020;428696
19/09/2020;442194
20/09/2020;453763
21/09/2020;458061
22/09/2020;468069
23/09/2020;481141
24/09/2020;497237
25/09/2020;513034
26/09/2020;527446
27/09/2020;538569
28/09/2020;542639
29/09/2020;550690
30/09/2020;563535
01/10/2020;577505
02/10/2020;589653
03/10/2020;606625
04/10/2020;619190
05/10/2020;624274
06/10/2020;634763
07/10/2020;653509
08/10/2020;671638
09/10/2020;691977
10/10/2020;718873
11/10/2020;734974
12/10/2020;743479
13/10/2020;756472
14/10/2020;779063
15/10/2020;809684
16/10/2020;834770
17/10/2020;867197
18/10/2020;897034
19/10/2020;910277
20/10/2020;930745
21/10/2020;957421
22/10/2020;999043
23/10/2020;1041075
24/10/2020;1086497
25/10/2020;1138507
26/10/2020;1165278
27/10/2020;1198695
28/10/2020;1235132
29/10/2020;1282769
30/10/2020;1331984
31/10/2020;1364625
01/11/2020;1413915
02/11/2020;1466433
03/11/2020;1502763
04/11/2020;1543321
05/11/2020;1601367
06/11/2020;1661853
07/11/2020;1748705
08/11/2020;1787324
09/11/2020;1807479
10/11/2020;1829659
11/11/2020;1865538
12/11/2020;1898710
13/11/2020;1922504
14/11/2020;1954599
15/11/2020;1981827
16/11/2020;1991233
17/11/2020;2036755
18/11/2020;2065138
19/11/2020;2086288
20/11/2020;2109170
21/11/2020;2127051
22/11/2020;2140208
23/11/2020;2144660
24/11/2020;2153815
25/11/2020;2170097
26/11/2020;2183660
27/11/2020;2196119
28/11/2020;2208699
29/11/2020;2218483
30/11/2020;2222488
01/12/2020;2230571
02/12/2020;2244635
03/12/2020;2257331
04/12/2020;2268552
05/12/2020;2281475
06/12/2020;2292497
07/12/2020;2295908
08/12/2020;2309621
09/12/2020;2324216
10/12/2020;2337966
11/12/2020;2351372
12/12/2020;2365319
13/12/2020;2376852
14/12/2020;2379915
15/12/2020;2391447
16/12/2020;2409062
17/12/2020;2427316
18/12/2020;2442990
19/12/2020;2460555
20/12/2020;2473354
21/12/2020;2479151
22/12/2020;2490946
23/12/2020;2505875
24/12/2020;2527509
25/12/2020;2547771
26/12/2020;2550864
27/12/2020;2559686
28/12/2020;2562646
29/12/2020;2574041
30/12/2020;2600498
31/12/2020;2620425
01/01/2021;2639773
02/01/2021;2643239
03/01/2021;2655728
04/01/2021;2659750
05/01/2021;2680239
06/01/2021;2705618
07/01/2021;2727321
08/01/2021;2747135
09/01/2021;2767312
10/01/2021;2783256
11/01/2021;2786838
12/01/2021;2806590
13/01/2021;2830442
14/01/2021;2851670
15/01/2021;2872941
16/01/2021;2894347
17/01/2021;2910989
18/01/2021;2914725
19/01/2021;2938333
20/01/2021;2965117
21/01/2021;2987965
22/01/2021;3011257
23/01/2021;3035181
24/01/2021;3053617
25/01/2021;3057857
26/01/2021;3079943
27/01/2021;3106859
28/01/2021;3130629
29/01/2021;3153487
30/01/2021;3177879
31/01/2021;3197114
01/02/2021;3201461
02/02/2021;3224798
03/02/2021;3251160
04/02/2021;3274608
05/02/2021;3296747
06/02/2021;3317333
07/02/2021;3337048
08/02/2021;3341365
